Station_Id_C Year Mon Day Hour WIN_D_Avg_2mi WIN_S_Avg_2mi TEM PRE_1h
54502 2021 8 3 18 219 1.0000 26.1000 0.1000 
54502 2021 8 3 19 245 0.5000 25.3000 0.9000 
54502 2021 8 3 20 310 0.7000 24.7000 5.3000 
54502 2021 8 3 21 209 0.7000 24.3000 3.3000 
54502 2021 8 3 22 85 0.8000 24.3000 0.1000 
54503 2021 8 3 18 181 1.8000 26.5000 0.0000 
54503 2021 8 3 19 187 1.9000 25.7000 0.1000 
54503 2021 8 3 20 339 3.2000 24.9000 0.5000 
54503 2021 8 3 21 350 1.3000 24.1000 0.7000 
54503 2021 8 3 22 50 1.6000 24.2000 0.6000 
54506 2021 8 3 18 191 1.2000 26.2000 0.0000 
54506 2021 8 3 19 317 0.6000 25.4000 0.2000 
54506 2021 8 3 20 145 0.6000 24.6000 4.4000 
54506 2021 8 3 21 82 0.6000 24.0000 16.8000 
54506 2021 8 3 22 73 0.8000 23.9000 2.8000 
54507 2021 8 3 18 313 1.7000 24.2000 2.1000 
54507 2021 8 3 19 279 1.3000 23.7000 4.0000 
54507 2021 8 3 20 354 0.4000 23.5000 19.7000 
54507 2021 8 3 21 2 0.9000 23.5000 0.4000 
54507 2021 8 3 22 13 0.5000 23.7000 0.0000 
54510 2021 8 3 18 123 1.0000 25.0000 0.0000 
54510 2021 8 3 19 185 1.2000 25.1000 0.0000 
54510 2021 8 3 20 167 1.1000 24.8000 0.3000 
54510 2021 8 3 21 169 1.5000 24.6000 0.1000 
54510 2021 8 3 22 189 1.4000 24.4000 1.0000 
54512 2021 8 3 18 177 0.6000 25.2000 0.0000 
54512 2021 8 3 19 158 0.5000 24.8000 0.1000 
54512 2021 8 3 20 999017 0.2000 24.4000 0.4000 
54512 2021 8 3 21 336 1.2000 23.9000 15.7000 
54512 2021 8 3 22 117 1.0000 23.7000 11.7000 
54515 2021 8 3 18 216 1.0000 25.8000 0.0000 
54515 2021 8 3 19 195 0.8000 25.5000 0.0000 
54515 2021 8 3 20 195 0.6000 25.0000 0.5000 
54515 2021 8 3 21 216 0.7000 24.8000 1.9000 
54515 2021 8 3 22 225 1.8000 24.2000 12.0000 
54518 2021 8 3 18 149 0.8000 25.3000 0.0000 
54518 2021 8 3 19 154 1.2000 24.9000 0.0000 
54518 2021 8 3 20 149 1.2000 24.7000 0.3000 
54518 2021 8 3 21 178 0.4000 24.6000 0.1000 
54518 2021 8 3 22 134 1.0000 24.2000 4.9000 
54519 2021 8 3 18 125 0.9000 25.4000 0.0000 
54519 2021 8 3 19 141 0.9000 25.1000 0.1000 
54519 2021 8 3 20 134 0.8000 24.7000 0.8000 
